//Table size fixed at 15 and max_page fixed at 30,,,//Stored as faults/time,
,,,,
No. of refs,Counter,Stack,Aging,Approx.
436,229/ 0.008448,229/ 0.006745,231/0.008334,224/ 0.007292
382,189/ 0.007342,189/ 0.005958,193/0.007787,192/ 0.006563
826,407/ 0.015418,407/ 0.01003,411/0.014417,406/ 0.011762
948,466/ 0.018015,466/ 0.016052,473/0.018016,470/ 0.013219
549,276/ 0.010614,276/ 0.008371,284/0.010313,268/ 0.009143
346,163/ 0.005697,163/ 0.005634,163/0.005601,160/ 0.005628
570,296/ 0.009385,296/ 0.009693,285/0.009513,281/ 0.009557
931,488/ 0.013563,488/ 0.016763,480/0.023142,481/ 0.014177
353,189/ 0.005819,189/ 0.005968,189/0.007859,188/ 0.00539
139,79/ 0.002868,79/ 0.00226,79/0.002546,77/ 0.002867
,,,,
"// Variable table size, no. of refs fixed at 100, max_page fixed at 20, fixed inputs",,,,
Table size,Counter,Stack,Aging,Approx.
1,94,94,94,94
2,91,91,90,90
3,83,83,83,82
4,79,79,79,78
5,75,75,77,77
6,73,73,71,73
7,68,68,64,69
8,60,60,54,62
9,53,53,53,54
10,53,53,50,53
11,49,49,49,49
,,,,
,,,,
"// Variable max_page, table size fixed at 15 no. of refs fixed at 100",,,,
,,,,
max_page,Counter,Stack,Aging,Approx.
19,37,37,36,32
24,43,43,44,48
55,77,77,75,76
65,84,84,85,85
80,88,88,88,89
,,,,
,,,,
Corner cases,,,,
160,160/ 0.004184,160/ 0.003344,160/0.004619,160/ 0.003575
320,320/ 0.007812,320/ 0.006476,320/0.008856,320/ 0.007635
,,,,
,,,,
No. of refs,Counter,Stack,Aging,Approx.
Best,O(1),O(1),O(1),O(1)
Worst,O(page table size),O(1),O(page table size),O(page table size)